X,Y,PHI,IR1,LDR1,IR2,LDR2,IR3,LDR3,IR4,LDR4,IR5,LDR5,IR6,LDR6,IR7,LDR7,IR8,LDR8
18.7,108.5,202.5,396.3,10.5,2.1,40.7,2.2,210,2.8,235.6,1.4,218.3,38.8,141.3,257.2,43.7,571.2,0
18.7,108.5,225,221.2,33,2,81.1,2.1,220.2,2.1,232,9.1,197.4,116,63.8,434.3,10.7,548.6,0
18.7,108.5,247.5,16.1,40.4,2.1,203.7,2.3,229.2,2.1,224.4,43.8,137.7,261.2,39.6,559.5,4.7,394.3,1.2
18.7,108.5,270,3.6,124,2.1,222.9,2.1,229.4,2.9,217.1,123.2,68.3,425.1,17.4,541,6.2,200.7,16
18.7,108.5,292.5,2,195.5,2.3,243.7,1.5,216,38,157.6,294.3,32.2,541.3,2.9,370.5,19,115.1,28.3
18.7,108.5,315,2.5,221.3,1.9,231.1,2.1,191.4,95.3,64.1,475.9,4.3,513.6,5.5,196.1,40.8,86,102.4
18.7,108.5,337.5,77.5,228.8,1.9,237.5,17.7,134.8,246.5,27,584.7,0,363.9,24.4,34.6,60.7,35.5,202.9
18.7,138.5,0,2,215.5,2.4,205.5,103.9,43.8,426.8,0,545.7,0,202.8,35.4,51,101.7,1.6,210.5
18.7,138.5,22.5,17.2,213.4,45.8,164.7,268.3,11.7,542.9,0,379.3,6.4,63.2,54.9,30.2,191,1.3,231.7
18.7,138.5,45,1.7,195.6,111.4,39.3,442.2,0,515.1,0,203.4,25.5,43.1,77.8,2,216.1,2,233.3
18.7,138.5,67.5,94.5,160.6,291,6.3,563.4,0,359.3,6.6,78,41,2.1,193.9,1.9,223.4,1.9,229
18.7,138.5,90,98.9,44.2,461.6,0,530.3,0,182.7,22.3,31.4,70.3,2,216.4,2,228.7,48.6,201
18.7,138.5,112.5,264.5,15.3,560.2,0,380.1,9.6,29.4,37.1,1.8,171.7,1.9,224.5,2.1,220.5,32,156.7
18.7,138.5,135,432.7,0,521.8,0,215.9,25.7,1.8,70,1.4,193.4,1.5,236.6,5.8,202.4,118.9,28.3
18.7,138.5,157.5,560.3,0,368.1,0,58.1,43.3,4.6,185.1,1.6,213.4,2.4,220.8,30.2,167.2,276,6.4
18.7,138.5,180,543.8,0,111.3,7.3,9.2,64.2,2.1,209.9,1.7,217.7,1.4,204.5,93.3,54.9,451.6,0
18.7,138.5,202.5,399.1,3.9,57.5,36.5,1.6,189.7,1.9,228.1,1.7,213.3,14.7,152.3,261.2,24.3,573.5,0
18.7,138.5,225,222.2,22.1,57.6,60,2,200.1,2.2,225.1,1.6,198.3,104.2,58.6,446.1,2.6,545.2,0
18.7,138.5,247.5,49.1,46,2,179.3,1.9,212.3,1.9,221.1,2.3,152.5,256.2,27.3,570.6,0,383.1,0
18.7,138.5,270,200.4,68,2.3,220.6,2.3,214.2,1.8,203.6,115.5,52.4,434.8,3.7,537.4,0,208.1,4.7
18.7,138.5,292.5,1.6,173,2,231.5,1.6,213.3,6.6,168.7,298.1,20.5,546,0,373.9,11.5,73.3,25.2
18.7,138.5,315,53.6,196.6,2.2,233.8,2.3,193.2,107.9,48.6,479.9,0,514.4,0.2,203.2,30.7,98.5,50.5
18.7,138.5,337.5,2.2,220.1,1.6,227,2,140.8,250.5,18.3,595.3,0,368.4,18.8,81,59.3,2.5,193.3
18.7,168.5,0,16.9,210.3,2.1,200.8,112.3,26.2,440.7,0,538.7,0,162.7,26.6,85,46.6,2.7,197.1
18.7,168.5,22.5,1.5,209,2.1,171.7,279.7,0.4,546.3,0,360.2,3.4,88.9,37.1,18.3,165.6,1.3,218.3
18.7,168.5,45,1.8,186.1,112,21.3,457.7,0,495.7,0,171.4,14.8,84.3,62.5,1.7,199.7,1.5,216.2
18.7,168.5,67.5,2.1,161.2,279.7,0,562.7,0,340.6,0,94.8,28.6,3.6,176.2,2.1,205.4,1.4,219
18.7,168.5,90,98.7,27.2,460.8,0,513.4,0,159.1,9.3,102.5,50.5,1.3,199.9,2.4,218.1,2.1,196.1
18.7,168.5,112.5,271.9,3.1,564.2,0,371.9,0.7,91.5,25.4,11.1,152.1,2.8,216.7,2.3,206.6,48.8,158.5
18.7,168.5,135,446.5,0,515,0,187.1,16.3,78.9,45.9,1.5,175,2.2,220.5,1.9,197.7,127.1,14.4
18.7,168.5,157.5,559.7,0,360.2,0,100.3,29.1,2.1,168.7,1.5,194.1,1.9,215.5,2.3,166.6,286.6,0
18.7,168.5,180,521.7,0,143.4,0.2,104.2,47.8,1.9,201.3,1.9,209.2,2.2,193.9,110.8,42,470.1,0
18.7,168.5,202.5,372.7,0,49.9,10.9,2.4,169.3,2.7,214.7,2,211.4,2,160,276.8,11.4,578.2,0
18.7,168.5,225,189.1,12.8,78.3,23.9,2,197.1,1.8,221.8,1.6,188,128,42,454.4,0,525.2,0
18.7,168.5,247.5,131.9,19.1,5,158.8,2.2,209,2,212.9,1.9,152.1,280,10.5,567.7,0,360.6,0
18.7,168.5,270,77.6,37.2,2.2,195.3,2.4,211.5,1.9,195.8,135.7,25.8,451.8,0,519.6,0,160.6,0.9
18.7,168.5,292.5,94.9,161.3,1.9,205.8,2.6,206.3,1.7,176.7,309.5,6.6,546.9,0,358.5,6.7,106.9,11.1
18.7,168.5,315,1.7,196.1,1.6,217.4,2.2,179.8,87.2,30.5,498.1,0,499.8,0.1,178.4,16.5,110.3,29.3
18.7,168.5,337.5,2.2,204.2,2,208.8,2,149.7,262.7,3.9,592.6,0,334.6,12.4,80.9,31,94.9,176.3
18.7,198.5,0,2.1,204.5,2.4,188.3,120.2,31.3,415.2,0,525.1,0,177.9,18.3,130.5,40.1,12.1,187.3
18.7,198.5,22.5,1.4,194.1,2.1,166.3,267,0,511.6,0,360.6,0,143,34.6,101.7,149.8,4.3,205.1
18.7,198.5,45,1.6,185.1,111.1,34.5,419.7,0,484.8,0,175.7,4.9,139,48.9,2.2,182,32.3,205.4
18.7,198.5,67.5,2.5,159.7,265.9,0,527,0,341.1,0,155.6,22.7,124.3,152.9,2,201.4,9,199.2
18.7,198.5,90,2.5,37.4,423.5,0,504.9,0,182.9,7.9,147.6,37.7,1.5,189.6,1.4,209.2,11.8,182.7
18.7,198.5,112.5,248.7,8,522.5,0,364.4,0,127.8,19.3,123.7,125.2,1.6,204.5,2.1,196.4,1.6,161.1
18.7,198.5,135,406.6,0,500.6,0,199.5,6.2,128.1,26.2,1.6,165.5,1.8,205.2,2.1,188.9,126,18.8
18.7,198.5,157.5,521.3,0,360.9,0,152.2,25.7,115.6,146.6,1.5,182.5,2.1,207.8,2,168.7,264.2,0
18.7,198.5,180,507.4,0,190.6,0.1,148.1,32.9,2.1,185.1,1.6,199.9,2.1,190.9,109.5,51.8,429.9,0
18.7,198.5,202.5,380.8,0,135.2,12.1,132,147.7,17.6,200.1,1.5,208.2,1.5,169.8,251,16.2,535.3,0
18.7,198.5,225,228.8,3.6,151.8,27.3,1.8,177.8,2.1,201.7,1.8,184.4,108,52.5,408.1,0,513.3,0.1
18.7,198.5,247.5,131.2,16.2,127.5,123.7,2.3,190.2,2,210.4,1.6,157.3,257.5,10.2,523.6,0,364.3,0
18.7,198.5,270,53.3,24.9,2.1,177,2.4,202.8,1.8,193.5,123.3,38.3,404.2,0,497.7,0,196.1,0
18.7,198.5,292.5,119.2,133.4,2.1,194.9,2.1,200.3,1.5,177.9,282.5,8.7,506.8,0,362.3,0.1,147.4,3.6
18.7,198.5,315,36.4,177,2.1,201.5,2.2,177.7,83.4,37.4,454.2,0,488,0,182.2,10.2,143,20.9
18.7,198.5,337.5,2.5,189.3,2.1,209.8,2.1,158.4,238.8,4.5,553.2,0,348.9,1.6,134.3,28.7,131.3,141.4
18.7,228.5,0,13.3,204.3,2.2,189.5,121.1,29.4,416.2,0,526.9,0,200.7,15.9,167,40.9,29.6,186.1
18.7,228.5,22.5,1.4,194.4,2.1,166.8,266.6,0,513.9,0,361.2,0,179.5,31.4,126.2,149.3,4.5,205.7
18.7,228.5,45,1.4,184.1,113.9,39.2,421.4,0,486,0,203.1,3.9,173.1,46.2,19.4,175.1,29.1,205.1
18.7,228.5,67.5,1.9,159.7,266.2,0,528.6,0,341.9,0,194.7,20.6,146.3,149.9,2,199.5,8.2,201.1
18.7,228.5,90,10.8,36.7,425.6,0,507.1,0,203.8,7.9,183.4,39.2,20.2,189.3,1.4,206.6,10.9,185.6
18.7,228.5,112.5,248.7,8,524.8,0,365.6,0,164.6,16.1,146.4,125.5,1.4,204.2,1.9,195.7,5,160.3
18.7,228.5,135,408.8,0,501.9,0,220.1,6.1,163.1,28.6,21.4,163.8,1.8,207.3,2.7,187.8,126.7,23.1
18.7,228.5,157.5,523.4,0,360.2,0,188.1,22,138.2,144.8,1.6,182.2,2.1,206.9,2.2,165.5,264.1,0
18.7,228.5,180,509.6,0,212.8,0.1,183,33.6,20.3,184.5,1.7,198.8,2.1,191.1,109.5,49.6,432,0
18.7,228.5,202.5,380.8,0,173.2,8.9,154.9,144.3,16,199.4,1.4,207.8,1.4,167.4,250.9,14,537.6,0
18.7,228.5,225,246,3.6,186.3,23.7,22.1,177.4,2,201.2,2,185,110.3,55.3,410.2,0,514.6,0
18.7,228.5,247.5,169.1,14.7,150.5,121.1,2.1,187.6,1.9,209.3,1.5,157.2,256.2,11.9,525.4,0,364.4,0
18.7,228.5,270,98.2,24.5,21.5,177.8,2.4,200.7,1.8,192.5,124,41.6,405.4,0,500,0,218.8,0
18.7,228.5,292.5,144.5,133.8,2.4,193.6,2,197.4,1.7,177.3,281.9,8.6,508.2,0,362.3,0.1,184.6,3.6
18.7,228.5,315,52.1,175.5,2.1,202.8,2.2,176.4,85.1,47.5,455.2,0,489.8,0,202.7,10.2,179.1,16.6
18.7,228.5,337.5,1.9,188.7,1.9,209,2.2,157,238.5,5.6,555.4,0,349.5,1.1,171.5,28.6,154.4,139.1
48.7,18.5,0,52.8,254.5,416.9,170.7,497.5,12.6,183.1,29,147.2,55,1.4,92,1.4,239,1.957142857,285.1
48.7,18.5,22.5,240.3,230.6,515.6,0,357.3,22.2,131.5,36.8,119.6,65.7,1.8,187,1.4,254.9,7.542857143,282
48.7,18.5,45,390.4,113.4,490.3,3.2,199.9,31,127.6,45.2,1.5,75.4,1.7,246.9,1.8,276.7,1.885714286,261.8
48.7,18.5,67.5,502.1,8.5,341.8,10.3,151.9,30.9,103.5,57.6,1.6,156.8,2.1,270.4,2.3,274.2,1.728571429,233.4
48.7,18.5,90,491.6,13.9,171.6,18.6,144.4,51.7,1.7,81.1,1.5,225.9,1.8,271.1,89.1,256.3,2.157142857,140.6
48.7,18.5,112.5,349,22.7,135.8,25.5,129,61.9,1.9,170.6,1.8,249.2,2.2,282,239.7,230.3,29.38571429,0.4
48.7,18.5,135,173.3,33.5,159.9,36.7,2,76.1,2.2,242.1,1.8,261.7,107.9,259.9,397.4,102.2,187.7142857,0.9
